Team,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,WinsLosses
UTA,240,119,44,81,54.3,18,40,45,13,18,72.2,6,35,41,32,5,5,14,13,W
UTA,240,101,39,82,47.6,9,28,32.1,14,21,66.7,8,40,48,17,10,6,19,25,W
UTA,240,88,34,81,42,8,31,25.8,12,17,70.6,10,28,38,25,10,4,19,17,L
UTA,240,133,49,92,53.3,10,30,33.3,25,33,75.8,13,36,49,30,11,5,19,26,W
UTA,240,83,33,85,38.8,4,23,17.4,13,17,76.5,7,34,41,22,12,3,19,21,L
UTA,240,110,38,88,43.2,12,39,30.8,22,31,71,12,34,46,21,7,7,10,21,L
UTA,240,94,36,74,48.6,11,25,44,11,16,68.8,3,33,36,26,6,10,19,18,L
UTA,240,98,35,78,44.9,11,38,28.9,17,27,63,7,39,46,23,11,4,15,23,W
UTA,240,107,41,88,46.6,4,22,18.2,21,37,56.8,10,29,39,15,10,4,13,25,L
UTA,240,68,25,81,30.9,6,35,17.1,12,19,63.2,8,25,33,16,11,3,22,21,L
UTA,240,96,32,82,39,9,32,28.1,23,30,76.7,13,36,49,19,7,6,15,25,W
UTA,240,123,43,77,55.8,13,34,38.2,24,30,80,8,37,45,29,4,4,17,21,W
UTA,240,117,43,89,48.3,13,37,35.1,18,26,69.2,8,27,35,31,12,10,12,32,W
UTA,240,111,38,86,44.2,8,31,25.8,27,41,65.9,12,28,40,29,10,4,12,19,L
UTA,240,88,33,81,40.7,6,31,19.4,16,24,66.7,10,30,40,22,12,7,13,21,L
UTA,240,100,36,77,46.8,14,36,38.9,14,25,56,10,29,39,21,3,5,14,25,L
UTA,240,125,47,97,48.5,13,30,43.3,18,30,60,20,28,48,25,9,5,14,22,L
UTA,240,113,42,80,52.5,10,25,40,19,22,86.4,8,35,43,25,8,6,18,27,W
UTA,240,132,46,88,52.3,10,32,31.3,30,37,81.1,6,37,43,32,7,7,13,26,W
UTA,240,100,34,78,43.6,10,29,34.5,22,28,78.6,9,38,47,21,7,5,19,21,W
UTA,240,84,29,82,35.4,8,32,25,18,23,78.3,10,40,50,18,6,6,15,22,L
UTA,240,123,40,89,44.9,19,46,41.3,24,29,82.8,10,28,38,24,11,4,17,19,L
UTA,240,123,41,79,51.9,13,27,48.1,28,38,73.7,5,39,44,21,8,4,17,19,W
UTA,265,137,47,106,44.3,14,35,40,29,33,87.9,17,40,57,31,8,11,17,24,L
UTA,240,118,41,78,52.6,10,27,37,26,34,76.5,9,39,48,24,5,5,15,21,W
UTA,240,109,38,84,45.2,13,42,31,20,28,71.4,10,25,35,25,11,4,11,17,L
UTA,240,119,44,85,51.8,15,33,45.5,16,25,64,7,39,46,30,9,6,16,26,W
UTA,240,118,44,77,57.1,16,32,50,14,18,77.8,7,38,45,30,2,9,20,16,W
UTA,240,111,38,79,48.1,15,35,42.9,20,26,76.9,5,42,47,30,7,3,18,25,W
UTA,240,128,48,87,55.2,14,32,43.8,18,18,100,8,36,44,26,7,7,18,22,W
UTA,240,115,41,83,49.4,10,32,31.3,23,36,63.9,8,46,54,33,4,5,11,18,W
UTA,240,125,48,86,55.8,10,21,47.6,19,23,82.6,10,33,43,31,11,4,14,23,W
UTA,240,114,46,95,48.4,11,32,34.4,11,15,73.3,12,46,58,27,7,8,12,17,W
UTA,240,114,43,94,45.7,10,32,31.3,18,26,69.2,14,35,49,25,12,3,15,24,L
UTA,240,137,48,85,56.5,20,42,47.6,21,25,84,7,33,40,38,7,3,10,18,W
UTA,240,116,49,91,53.8,14,37,37.8,4,6,66.7,7,34,41,35,10,8,17,21,W
UTA,240,114,39,91,42.9,13,36,36.1,23,31,74.2,15,50,65,24,3,7,15,21,W
UTA,240,120,44,89,49.4,13,38,34.2,19,27,70.4,13,36,49,30,7,8,12,20,W
UTA,240,114,42,90,46.7,12,33,36.4,18,25,72,12,40,52,30,8,4,12,22,W
UTA,240,89,32,88,36.4,13,43,30.2,12,17,70.6,11,37,48,22,12,6,14,25,L
UTA,240,104,35,82,42.7,18,48,37.5,16,24,66.7,10,31,41,21,8,10,13,20,L
UTA,240,114,46,88,52.3,8,30,26.7,14,22,63.6,9,36,45,31,9,8,20,20,W
UTA,240,112,43,92,46.7,14,38,36.8,12,14,85.7,13,34,47,35,3,6,18,17,L
UTA,240,115,44,96,45.8,12,29,41.4,15,26,57.7,16,37,53,22,13,7,13,23,W
UTA,240,111,37,84,44,16,43,37.2,21,33,63.6,10,34,44,25,6,6,11,22,W
UTA,240,111,38,92,41.3,11,34,32.4,24,32,75,14,42,56,22,9,12,16,23,W
UTA,240,125,41,85,48.2,14,38,36.8,29,33,87.9,8,45,53,28,2,9,7,21,W
UTA,290,147,52,105,49.5,18,40,45,25,31,80.6,15,46,61,33,8,10,25,25,L
UTA,240,108,41,87,47.1,10,26,38.5,16,21,76.2,7,42,49,23,3,4,16,21,L
UTA,240,125,47,90,52.2,16,41,39,15,20,75,9,43,52,29,7,3,11,17,W
UTA,240,116,42,84,50,11,28,39.3,21,32,65.6,12,31,43,29,13,5,16,18,W
UTA,240,98,31,86,36,11,41,26.8,25,36,69.4,14,37,51,19,8,9,23,21,L
UTA,240,128,46,87,52.9,12,35,34.3,24,30,80,11,40,51,31,4,6,15,22,W
UTA,240,105,38,85,44.7,11,34,32.4,18,21,85.7,8,28,36,24,9,4,17,22,L
UTA,240,125,46,86,53.5,15,39,38.5,18,25,72,6,30,36,30,8,5,9,17,W
UTA,240,106,37,94,39.4,13,40,32.5,19,25,76,16,31,47,25,9,8,11,19,W
UTA,240,114,38,88,43.2,19,46,41.3,19,27,70.4,12,28,40,28,7,7,13,20,W
UTA,240,104,36,91,39.6,7,33,21.2,25,31,80.6,13,35,48,21,5,8,15,19,L
UTA,240,115,44,85,51.8,13,37,35.1,14,15,93.3,8,40,48,33,6,5,19,22,W
UTA,240,129,44,86,51.2,11,33,33.3,30,37,81.1,8,40,48,27,9,7,13,15,W
UTA,240,100,31,80,38.8,12,37,32.4,26,36,72.2,11,44,55,20,5,3,18,18,W
UTA,240,110,38,88,43.2,16,45,35.6,18,25,72,10,42,52,23,6,11,13,18,W
UTA,240,113,38,96,39.6,15,42,35.7,22,32,68.8,15,50,65,24,9,9,16,20,W
UTA,240,106,41,84,48.8,12,33,36.4,12,14,85.7,4,40,44,24,5,3,13,20,W
UTA,240,102,36,86,41.9,14,37,37.8,16,23,69.6,11,35,46,20,6,6,15,21,L
UTA,240,110,39,82,47.6,7,21,33.3,25,32,78.1,7,35,42,24,12,6,12,23,W
UTA,240,117,42,82,51.2,14,35,40,19,22,86.4,8,39,47,28,6,9,11,19,W
UTA,240,116,42,97,43.3,9,32,28.1,23,29,79.3,12,31,43,23,6,4,4,27,L
TOR,240,95,34,92,37,9,33,27.3,18,20,90,17,35,52,17,5,8,12,15,W
TOR,240,87,28,95,29.5,12,34,35.3,19,24,79.2,14,27,41,18,4,10,11,21,L
TOR,240,106,37,79,46.8,13,30,43.3,19,23,82.6,10,33,43,19,8,2,16,16,W
TOR,240,101,37,95,38.9,10,40,25,17,19,89.5,8,33,41,17,5,2,15,24,L
TOR,240,126,48,91,52.7,9,31,29,21,26,80.8,13,31,44,21,9,5,9,23,W
TOR,240,99,38,93,40.9,7,30,23.3,16,21,76.2,11,32,43,20,15,9,9,19,W
TOR,240,86,35,88,39.8,7,35,20,9,14,64.3,13,38,51,13,5,4,12,16,L
TOR,240,122,43,78,55.1,18,31,58.1,18,21,85.7,6,31,37,20,4,4,17,21,L
TOR,240,113,44,91,48.4,9,28,32.1,16,19,84.2,10,38,48,27,12,3,11,17,W
TOR,240,123,50,96,52.1,14,29,48.3,9,12,75,10,33,43,34,8,6,9,22,W
TOR,240,99,39,94,41.5,15,44,34.1,6,7,85.7,11,34,45,24,6,11,11,21,L
TOR,265,105,35,89,39.3,11,35,31.4,24,29,82.8,6,35,41,25,9,7,15,19,L
TOR,240,113,43,100,43,8,29,27.6,19,22,86.4,17,36,53,25,12,3,11,13,W
TOR,240,103,40,87,46,11,41,26.8,12,12,100,7,34,41,28,11,5,17,21,L
TOR,240,106,39,80,48.8,7,26,26.9,21,25,84,6,36,42,15,5,5,12,19,W
TOR,265,131,47,90,52.2,15,38,39.5,22,24,91.7,7,30,37,25,5,6,15,23,W
TOR,240,122,42,69,60.9,18,33,54.5,20,28,71.4,4,27,31,25,5,5,15,18,W
TOR,240,125,47,90,52.2,11,35,31.4,20,25,80,11,36,47,25,4,7,11,21,W
TOR,240,125,46,93,49.5,17,39,43.6,16,19,84.2,13,37,50,32,5,6,15,23,W
TOR,240,124,48,90,53.3,11,29,37.9,17,23,73.9,14,41,55,33,6,1,19,21,W
TOR,240,93,39,87,44.8,9,34,26.5,6,8,75,6,37,43,23,7,5,16,19,W
TOR,240,122,48,89,53.9,14,35,40,12,13,92.3,8,46,54,31,14,10,23,24,W
TOR,265,116,42,97,43.3,8,29,27.6,24,29,82.8,11,32,43,20,12,4,14,23,L
TOR,240,104,45,92,48.9,4,20,20,10,17,58.8,12,37,49,23,9,3,20,19,L
TOR,240,110,39,97,40.2,13,45,28.9,19,22,86.4,13,30,43,22,9,5,11,20,L
TOR,240,128,42,79,53.2,14,35,40,30,40,75,12,34,46,24,8,4,15,20,W
TOR,240,114,41,89,46.1,11,36,30.6,21,23,91.3,13,40,53,17,10,4,22,20,W
TOR,240,124,49,86,57,13,33,39.4,13,14,92.9,7,36,43,21,9,3,15,28,W
TOR,240,121,49,98,50,10,35,28.6,13,14,92.9,13,36,49,32,9,4,13,24,W
TOR,240,107,41,81,50.6,12,33,36.4,13,21,61.9,6,33,39,29,11,10,14,23,W
TOR,240,129,47,92,51.1,11,27,40.7,24,28,85.7,9,34,43,29,13,6,16,26,W
TOR,240,109,39,103,37.9,9,45,20,22,28,78.6,15,36,51,25,9,7,10,19,L
TOR,240,116,44,91,48.4,11,27,40.7,17,20,85,12,38,50,23,10,5,13,22,W
TOR,240,112,46,89,51.7,11,32,34.4,9,12,75,11,33,44,26,9,8,17,18,W
TOR,240,127,50,87,57.5,15,39,38.5,12,14,85.7,5,41,46,36,10,8,15,21,W
TOR,240,117,39,88,44.3,10,29,34.5,29,36,80.6,14,38,52,21,5,5,17,29,W
TOR,240,113,43,92,46.7,13,35,37.1,14,19,73.7,12,37,49,24,3,3,13,19,W
TOR,240,116,45,92,48.9,14,33,42.4,12,20,60,8,35,43,21,6,7,10,29,W
TOR,240,120,46,88,52.3,16,37,43.2,12,17,70.6,7,47,54,24,10,5,18,17,W
TOR,265,117,39,87,44.8,16,41,39,23,27,85.2,4,43,47,26,7,5,11,17,W
TOR,240,111,43,80,53.8,9,26,34.6,16,20,80,5,38,43,27,2,5,14,17,L
TOR,240,115,44,105,41.9,15,38,39.5,12,14,85.7,17,35,52,29,9,1,7,16,W
TOR,240,121,42,84,50,19,37,51.4,18,22,81.8,6,33,39,31,9,8,14,20,W
TOR,240,124,46,89,51.7,18,38,47.4,14,18,77.8,6,41,47,35,10,4,12,15,W
TOR,240,117,40,89,44.9,20,47,42.6,17,22,77.3,6,38,44,32,8,6,9,28,W
TOR,240,112,42,86,48.8,12,28,42.9,16,16,100,2,37,39,28,13,7,15,16,W
TOR,240,114,45,77,58.4,11,26,42.3,13,13,100,3,32,35,29,6,11,13,17,L
TOR,240,109,39,78,50,13,25,52,18,21,85.7,11,35,46,20,7,7,22,24,L
TOR,265,123,45,87,51.7,14,36,38.9,19,21,90.5,6,46,52,30,11,5,19,27,W
TOR,240,128,49,88,55.7,17,40,42.5,13,22,59.1,5,45,50,36,5,6,15,22,W
TOR,240,107,39,82,47.6,18,36,50,11,14,78.6,7,31,38,25,2,2,12,22,L
TOR,240,111,36,91,39.6,16,41,39,23,29,79.3,13,39,52,21,15,6,17,20,W
TOR,240,101,40,84,47.6,11,39,28.2,10,17,58.8,6,37,43,20,8,3,20,24,L
TOR,240,125,42,74,56.8,21,40,52.5,20,26,76.9,6,38,44,32,8,8,21,23,W
TOR,240,127,53,99,53.5,13,37,35.1,8,9,88.9,7,44,51,31,10,12,16,14,W
TOR,240,95,37,89,41.6,9,32,28.1,12,16,75,16,31,47,16,1,5,13,15,L
TOR,265,107,37,96,38.5,14,39,35.9,19,24,79.2,18,32,50,22,8,3,16,28,L
TOR,240,119,45,81,55.6,10,28,35.7,19,21,90.5,2,30,32,29,9,6,14,17,W
TOR,240,118,46,94,48.9,17,36,47.2,9,14,64.3,8,37,45,33,7,5,9,24,W
TOR,240,98,38,91,41.8,11,28,39.3,11,14,78.6,6,36,42,30,6,2,13,20,L
TOR,240,120,40,94,42.6,14,30,46.7,26,32,81.3,14,33,47,24,8,3,9,20,W
TOR,240,129,44,92,47.8,16,38,42.1,25,30,83.3,9,43,52,32,8,8,15,27,W
TOR,240,127,50,92,54.3,9,31,29,18,20,90,5,35,40,32,12,3,14,16,W
TOR,240,104,33,86,38.4,14,35,40,24,29,82.8,10,37,47,27,8,5,12,15,W
TOR,240,119,40,87,46,13,40,32.5,26,33,78.8,12,38,50,29,6,2,8,23,W
TOR,240,119,41,89,46.1,11,31,35.5,26,32,81.3,15,27,42,27,12,0,13,27,W
TOR,240,121,43,94,45.7,9,33,27.3,26,31,83.9,16,40,56,21,10,5,16,28,W
TOR,240,92,37,93,39.8,7,27,25.9,11,13,84.6,8,31,39,16,9,4,16,20,L
TOR,240,123,37,83,44.6,17,34,50,32,38,84.2,8,36,44,24,6,5,8,27,W
TOR,240,119,44,91,48.4,14,36,38.9,17,18,94.4,12,35,47,27,4,1,21,25,L
TOR,240,106,38,92,41.3,12,39,30.8,18,23,78.3,10,35,45,28,2,5,9,22,L
TOR,240,120,40,91,44,16,40,40,24,35,68.6,12,34,46,25,7,5,16,21,W
TOR,240,119,44,90,48.9,17,36,47.2,14,16,87.5,8,29,37,31,19,8,12,17,W
TOR,240,111,43,86,50,7,28,25,18,25,72,9,30,39,27,8,8,14,27,W
TOR,240,108,41,92,44.6,7,29,24.1,19,21,90.5,14,28,42,20,9,2,13,14,L
TOR,290,140,49,104,47.1,13,36,36.1,29,36,80.6,17,42,59,24,16,8,23,27,W
TOR,240,122,48,105,45.7,11,35,31.4,15,24,62.5,13,42,55,32,10,4,10,22,W
TOR,240,104,37,80,46.3,10,32,31.3,20,27,74.1,6,33,39,26,18,7,19,20,W
TOR,240,121,44,85,51.8,17,33,51.5,16,17,94.1,8,33,41,30,9,4,15,21,W
TOR,240,123,42,82,51.2,14,31,45.2,25,31,80.6,4,34,38,28,9,6,11,22,W
TOR,240,107,39,87,44.8,6,30,20,23,29,79.3,9,30,39,21,9,6,10,23,L
TOR,240,122,45,82,54.9,7,20,35,25,35,71.4,5,40,45,18,4,6,10,21,W
SAS,240,120,45,91,49.5,14,26,53.8,16,18,88.9,8,35,43,27,6,4,11,17,W
SAS,240,122,44,87,50.6,6,23,26.1,28,31,90.3,8,41,49,27,10,4,16,25,W
SAS,240,99,40,89,44.9,8,27,29.6,11,20,55,12,26,38,23,14,3,10,19,L
SAS,240,111,42,90,46.7,10,32,31.3,17,22,77.3,7,43,50,29,6,4,10,17,W
SAS,240,101,42,88,47.7,10,24,41.7,7,11,63.6,5,38,43,24,3,9,9,17,L
SAS,240,124,46,87,52.9,19,33,57.6,13,18,72.2,11,39,50,36,7,3,16,22,W
SAS,240,129,50,77,64.9,12,19,63.2,17,21,81,4,41,45,29,5,4,11,15,W
SAS,240,123,49,87,56.3,9,23,39.1,16,17,94.1,4,41,45,28,5,9,7,14,W
SAS,240,93,32,73,43.8,7,21,33.3,22,26,84.6,7,34,41,18,3,5,15,18,L
SAS,240,125,48,83,57.8,10,22,45.5,19,24,79.2,8,39,47,25,10,7,11,20,W
SAS,240,111,41,83,49.4,13,21,61.9,16,19,84.2,8,38,46,28,7,2,15,15,W
SAS,240,110,47,89,52.8,5,14,35.7,11,12,91.7,10,36,46,26,7,7,11,15,W
SAS,240,133,46,91,50.5,13,31,41.9,28,33,84.8,9,39,48,27,4,7,10,18,W
SAS,240,113,43,96,44.8,7,27,25.9,20,20,100,11,38,49,18,8,2,11,24,L
SAS,240,105,44,90,48.9,7,22,31.8,10,11,90.9,7,25,32,25,7,5,16,19,L
SAS,240,131,50,83,60.2,11,15,73.3,20,22,90.9,5,29,34,29,5,4,12,15,W
SAS,240,105,39,86,45.3,10,28,35.7,17,20,85,9,32,41,24,4,4,13,18,L
SAS,240,89,34,87,39.1,8,27,29.6,13,13,100,12,34,46,23,1,8,19,17,L
